S.No.,State Code,State Name (In English),District Code,District Name (In English),Census 2001 Code,Census 2011 Code
1,35,Andaman And Nicobar Islands,603,Nicobars,02,638
2,35,Andaman And Nicobar Islands,632,North And Middle Andaman,,639
3,35,Andaman And Nicobar Islands,602,South Andamans,01,640
4,28,Andhra Pradesh,745,Alluri Sitharama Raju,,000
5,28,Andhra Pradesh,744,Anakapalli,,000
6,28,Andhra Pradesh,502,Ananthapuramu,22,553
7,28,Andhra Pradesh,753,Annamayya,,000
8,28,Andhra Pradesh,750,Bapatla,,000
9,28,Andhra Pradesh,503,Chittoor,23,554
10,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,,000
11,28,Andhra Pradesh,505,East Godavari,14,545
12,28,Andhra Pradesh,748,Eluru,,000
13,28,Andhra Pradesh,506,Guntur,17,548
14,28,Andhra Pradesh,746,Kakinada,,000
15,28,Andhra Pradesh,510,Krishna,16,547
16,28,Andhra Pradesh,511,Kurnool,21,552
17,28,Andhra Pradesh,755,Nandyal,,000
18,28,Andhra Pradesh,749,Ntr,,000
19,28,Andhra Pradesh,751,Palnadu,,000
20,28,Andhra Pradesh,743,Parvathipuram Manyam,,000
21,28,Andhra Pradesh,517,Prakasam,18,549
22,28,Andhra Pradesh,519,Srikakulam,11,542
23,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,19,550
24,28,Andhra Pradesh,754,Sri Sathya Sai,,000
25,28,Andhra Pradesh,752,Tirupati,,000
26,28,Andhra Pradesh,520,Visakhapatnam,13,544
27,28,Andhra Pradesh,521,Vizianagaram,12,543
28,28,Andhra Pradesh,523,West Godavari,15,546
29,28,Andhra Pradesh,504,Y.S.R. Kadapa,20,551
30,12,Arunachal Pradesh,628,Anjaw,,260
31,12,Arunachal Pradesh,787,Bichom,,
32,12,Arunachal Pradesh,229,Changlang,12,253
33,12,Arunachal Pradesh,230,Dibang Valley,10,257
34,12,Arunachal Pradesh,231,East Kameng,03,247
35,12,Arunachal Pradesh,232,East Siang,08,251
36,12,Arunachal Pradesh,718,Kamle,,000
37,12,Arunachal Pradesh,786,Keyi Panyor,,
38,12,Arunachal Pradesh,677,Kra Daadi,,000
39,12,Arunachal Pradesh,233,Kurung Kumey,14,256
40,12,Arunachal Pradesh,724,Leparada,,000
41,12,Arunachal Pradesh,234,Lohit,11,259
42,12,Arunachal Pradesh,666,Longding,,000
43,12,Arunachal Pradesh,235,Lower Dibang Valley,15,258
44,12,Arunachal Pradesh,719,Lower Siang,,000
45,12,Arunachal Pradesh,236,Lower Subansiri,05,255
46,12,Arunachal Pradesh,678,Namsai,,000
47,12,Arunachal Pradesh,723,Pakke Kessang,,000
48,12,Arunachal Pradesh,237,Papum Pare,04,248
49,12,Arunachal Pradesh,725,Shi Yomi,,000
50,12,Arunachal Pradesh,679,Siang,,000
51,12,Arunachal Pradesh,238,Tawang,01,245
52,12,Arunachal Pradesh,239,Tirap,13,254
53,12,Arunachal Pradesh,240,Upper Siang,09,252
54,12,Arunachal Pradesh,241,Upper Subansiri,06,249
55,12,Arunachal Pradesh,242,West Kameng,02,246
56,12,Arunachal Pradesh,243,West Siang,07,250
57,18,Assam,739,Bajali,,000
58,18,Assam,616,Baksa,,324
59,18,Assam,280,Barpeta,05,303
60,18,Assam,705,Biswanath,,000
61,18,Assam,281,Bongaigaon,04,319
62,18,Assam,282,Cachar,21,316
63,18,Assam,708,Charaideo,,000
64,18,Assam,612,Chirang,,320
65,18,Assam,283,Darrang,08,325
66,18,Assam,284,Dhemaji,13,308
67,18,Assam,285,Dhubri,02,301
68,18,Assam,286,Dibrugarh,15,310
69,18,Assam,299,Dima Hasao,20,315
70,18,Assam,287,Goalpara,03,302
71,18,Assam,288,Golaghat,18,313
72,18,Assam,289,Hailakandi,23,318
73,18,Assam,709,Hojai,,000
74,18,Assam,290,Jorhat,17,312
75,18,Assam,291,Kamrup,06,321
76,18,Assam,618,Kamrup Metro,,322
77,18,Assam,292,Karbi Anglong,19,314
78,18,Assam,294,Kokrajhar,01,300
79,18,Assam,295,Lakhimpur,12,307
80,18,Assam,706,Majuli,,000
81,18,Assam,296,Marigaon,09,304
82,18,Assam,297,Nagaon,10,305
83,18,Assam,298,Nalbari,07,323
84,18,Assam,300,Sivasagar,16,311
85,18,Assam,301,Sonitpur,11,306
86,18,Assam,707,South Salmara Mancachar,,000
87,18,Assam,293,Sribhumi,22,317
88,18,Assam,756,Tamulpur,,000
89,18,Assam,302,Tinsukia,14,309
90,18,Assam,617,Udalguri,,326
91,18,Assam,710,West Karbi Anglong,,000
92,10,Bihar,188,Araria,07,209
93,10,Bihar,611,Arwal,33,240
94,10,Bihar,189,Aurangabad,34,235
95,10,Bihar,190,Banka,23,225
96,10,Bihar,191,Begusarai,20,222
97,10,Bihar,192,Bhagalpur,22,224
98,10,Bihar,193,Bhojpur,29,231
99,10,Bihar,194,Buxar,30,232
100,10,Bihar,195,Darbhanga,13,215
101,10,Bihar,196,Gaya,35,236
102,10,Bihar,197,Gopalganj,15,217
103,10,Bihar,198,Jamui,37,238
104,10,Bihar,199,Jehanabad,33,239
105,10,Bihar,200,Kaimur (Bhabua),31,233
106,10,Bihar,201,Katihar,10,212
107,10,Bihar,202,Khagaria,21,223
108,10,Bihar,203,Kishanganj,08,210
109,10,Bihar,204,Lakhisarai,25,227
110,10,Bihar,205,Madhepura,11,213
111,10,Bihar,206,Madhubani,05,207
112,10,Bihar,207,Munger,24,226
113,10,Bihar,208,Muzaffarpur,14,216
