S.No.,State Code,State Name,Local Body Code,Local Body Version,Local Body Name (In English),Local Body Name (In Local),Localbody Type Code,Census 2011 Code
1,35,Andaman And Nicobar Islands,253098,6,Port Blair,Port Blair,5,804041
2,28,Andhra Pradesh,257868,3,Addanki,Addanki,5,0
3,28,Andhra Pradesh,251792,2,Adoni,Adoni,5,803003
4,28,Andhra Pradesh,296256,2,Akiveedu,AKIVEEDU,7,0
5,28,Andhra Pradesh,253272,5,Allagadda,Allagadda,5,0
6,28,Andhra Pradesh,299713,1,Alluru,Alluru,7,0
7,28,Andhra Pradesh,251699,3,Amadalavalasa,Amadalavalasa,5,802941
8,28,Andhra Pradesh,251735,3,Amalapuram,Amalapuram,5,802958
9,28,Andhra Pradesh,248112,3,Anantapur,Anantapur,4,803009
10,28,Andhra Pradesh,258033,4,Atmakur,Atmakur,5,0
11,28,Andhra Pradesh,253270,5,Atmakur (Kurnool),Atmakur (Kurnool),5,0
12,28,Andhra Pradesh,248111,2,Badvel,Badvel,5,802994
13,28,Andhra Pradesh,251760,2,Bapatla,Bapatla,5,802984
14,28,Andhra Pradesh,296260,2,Bethamcherla,BETHAMCHERLA,7,0
15,28,Andhra Pradesh,251741,3,Bhimavaram,Bhimavaram,5,802964
16,28,Andhra Pradesh,299714,1,B Kothakota,B Kothakota,7,0
17,28,Andhra Pradesh,251702,2,Bobbili,Bobbili,5,802944
18,28,Andhra Pradesh,296328,2,Buchireddypalem,Buchireddypalem,7,0
19,28,Andhra Pradesh,251756,5,Chilakaluripeta,Chilakaluripeta,5,802980
20,28,Andhra Pradesh,253274,8,Chimakurthy,Chimakurthy,5,0
21,28,Andhra Pradesh,299715,1,Chinthalapudi,Chinthalapudi,7,0
22,28,Andhra Pradesh,251763,2,Chirala,Chirala,5,802987
23,28,Andhra Pradesh,248122,12,Chittoor,Chittoor,4,803019
24,28,Andhra Pradesh,251782,2,Cuddapah,Cuddapah,4,802998
25,28,Andhra Pradesh,296261,2,Dachepalli,DACHEPALLI,7,0
26,28,Andhra Pradesh,296263,2,Darsi,DARSI,7,0
27,28,Andhra Pradesh,248115,2,Dharmavaram,Dharmavaram,5,803010
28,28,Andhra Pradesh,253169,3,Dhone(M),Dhone(M),5,803005
29,28,Andhra Pradesh,251739,4,Eluru,Eluru,4,802962
30,28,Andhra Pradesh,257869,2,Giddalur,Giddalur,7,0
31,28,Andhra Pradesh,277316,3,Gollaprolu,Gollaprolu,7,0
32,28,Andhra Pradesh,251797,4,Gooty,Gooty,5,0
33,28,Andhra Pradesh,251747,7,Gudivada,Gudivada,5,802970
34,28,Andhra Pradesh,263068,5,Gudur,GUDUR,5,802992
35,28,Andhra Pradesh,251773,7,Gudur (Kurnool),Gudur (Kurnool),7,0
36,28,Andhra Pradesh,248113,2,Guntakal,Guntakal,5,803007
37,28,Andhra Pradesh,251757,12,Guntur,Guntur,4,802981
38,28,Andhra Pradesh,296262,2,Gurajala,GURAJALA,7,0
39,28,Andhra Pradesh,248118,2,Hindupur,Hindupur,5,803012
40,28,Andhra Pradesh,251696,3,Ichapuram,Ichapuram,5,802939
41,28,Andhra Pradesh,277319,2,Jaggiahpet,Jaggiahpet,5,0
42,28,Andhra Pradesh,251780,3,Jammalamadugu,Jammalamadugu,7,802996
43,28,Andhra Pradesh,257906,3,Jangareddygudem,Jangareddygudem,5,0
44,28,Andhra Pradesh,248116,2,Kadiri,Kadiri,5,803011
45,28,Andhra Pradesh,251731,4,Kakinada,Kakinada,4,802955
46,28,Andhra Pradesh,251799,3,Kalyandurg,Kalyandurg,5,0
47,28,Andhra Pradesh,296259,2,Kamalapuram,KAMALAPURAM,7,0
48,28,Andhra Pradesh,251768,5,Kandukur,Kandukur,5,802989
49,28,Andhra Pradesh,253295,5,Kanigiri,Kanigiri,5,0
50,28,Andhra Pradesh,251770,4,Kavali,Kavali,5,802990
51,28,Andhra Pradesh,296264,3,Kondapalli,KONDAPALLI,5,0
52,28,Andhra Pradesh,251736,3,Kovvur,Kovvur,5,802959
53,28,Andhra Pradesh,296257,5,Kuppam,KUPPAM,5,0
54,28,Andhra Pradesh,251789,4,Kurnool,Kurnool,4,803002
55,28,Andhra Pradesh,251751,2,Macherla,మంచేరియాల్,5,802973
56,28,Andhra Pradesh,251750,3,Machilipatnam Municipal Corporation,Machilipatnam Municipal Corporation,4,802972
57,28,Andhra Pradesh,253253,4,Madakasira,Madakasira,7,0
58,28,Andhra Pradesh,248119,2,Madanapalli,Madanapalli,5,803015
59,28,Andhra Pradesh,251732,2,Mandapeta,Mandapeta,5,802956
60,28,Andhra Pradesh,251752,7,Mangalagiri Tadepalli,Mangalagiri Tadepalli,4,802976
61,28,Andhra Pradesh,251762,2,Markapur,Markapur,5,802986
62,28,Andhra Pradesh,277315,4,Mummidivaram,Mummidivaram,7,0
63,28,Andhra Pradesh,253297,3,Mydukur,Mydukur,5,0
64,28,Andhra Pradesh,248125,2,Nagari,Nagari,5,803016
65,28,Andhra Pradesh,257831,4,Naidupeta,Naidupeta,5,0
66,28,Andhra Pradesh,254922,4,Nandigama,Nandigama,5,0
67,28,Andhra Pradesh,253273,5,Nandikotkur,Nandikotkur,5,0
68,28,Andhra Pradesh,251795,6,Nandyal,Nandyal,5,803004
69,28,Andhra Pradesh,251742,2,Narasapur,Narasapur,5,802965
70,28,Andhra Pradesh,251755,4,Narasaraopeta,Narasaraopeta,5,802979
71,28,Andhra Pradesh,251716,4,Narsipatnam,Narsipatnam,5,0
72,28,Andhra Pradesh,251711,4,Nellimarla,Nellimarla,7,0
73,28,Andhra Pradesh,251772,6,Nellore Municipal Corporation,నెల్లూరు నగరపాలక సంస్థ,4,802991
74,28,Andhra Pradesh,251737,2,Nidadavole,Nidadavole,5,802960
75,28,Andhra Pradesh,251745,2,Nuzvid,Nuzvid,5,802968
76,28,Andhra Pradesh,251766,5,Ongole,Ongole,4,802988
77,28,Andhra Pradesh,251743,6,Palacole,Palacole,5,802966
78,28,Andhra Pradesh,257967,2,Palakonda,Palakonda,7,0
79,28,Andhra Pradesh,248123,2,Palamaner,Palamaner,5,803020
80,28,Andhra Pradesh,251695,3,Palasa Kasibugga,Palasa Kasibugga,5,802938
81,28,Andhra Pradesh,253252,3,Pamidi,,7,0
82,28,Andhra Pradesh,251701,3,Parvathipuram,Parvathipuram,5,802943
83,28,Andhra Pradesh,251749,3,Pedana,Pedana,5,802971
84,28,Andhra Pradesh,251724,2,Peddapuram,Peddapuram,5,802951
85,28,Andhra Pradesh,296250,2,Penukonda,PENUKONDA,7,0
86,28,Andhra Pradesh,253167,2,Piduguralla,Piduguralla,5,802974
87,28,Andhra Pradesh,251728,2,Pithapuram,Pithapuram,5,802954
88,28,Andhra Pradesh,299716,1,Podili,Podili,7,0
89,28,Andhra Pradesh,251759,2,Ponnuru,Ponnuru,5,802983
90,28,Andhra Pradesh,251778,2,Proddatur,Proddatur,5,802995
91,28,Andhra Pradesh,253101,2,Pulivendula,Pulivendula,5,802997
92,28,Andhra Pradesh,248120,2,Punganur,Punganur,5,803018
93,28,Andhra Pradesh,253254,5,Puttaparthi,Puttaparthi,5,0
94,28,Andhra Pradesh,248126,2,Puttur,Puttur,5,803017
95,28,Andhra Pradesh,251725,13,Rajahmundry,Rajahmundry,4,802952
96,28,Andhra Pradesh,251698,3,Rajam,Rajam,5,802940
97,28,Andhra Pradesh,253102,2,Rajampet,Rajampet,5,803000
98,28,Andhra Pradesh,251733,2,Ramachandrapuram,Ramachandrapuram,5,802957
99,28,Andhra Pradesh,251786,2,Rayachoti,Rayachoti,5,802999
100,28,Andhra Pradesh,248117,2,Rayadurg,Rayadurg,5,803006
101,28,Andhra Pradesh,251761,2,Repalle,Repalle,5,802985
102,28,Andhra Pradesh,251703,2,Salur,Salur,5,802945
103,28,Andhra Pradesh,251727,2,Samalkot,Samalkot,5,802953
104,28,Andhra Pradesh,251753,2,Sattenapalle,Sattenapalle,5,802977
105,28,Andhra Pradesh,251700,7,Srikakulam,Srikakulam,4,802942
106,28,Andhra Pradesh,248124,3,Srikalahasti,Srikalahasti,5,803013
107,28,Andhra Pradesh,253227,4,Sullurupeta,Sullurupeta,5,0
108,28,Andhra Pradesh,251738,4,Tadepalligudem,Tadepalligudem,5,802961
109,28,Andhra Pradesh,248114,2,Tadipatri,Tadipatri,5,803008
110,28,Andhra Pradesh,251740,3,Tanuku,Tanuku,5,802963
111,28,Andhra Pradesh,251758,2,Tenali,Tenali,5,802982
112,28,Andhra Pradesh,248121,9,Tirupati,Tirupati,4,803014
113,28,Andhra Pradesh,254924,3,Tiruvuru,Tiruvuru,7,0
114,28,Andhra Pradesh,251722,2,Tuni,Tuni,5,802950
115,28,Andhra Pradesh,251774,5,Venkatagiri,Venkatagiri,5,802993
116,28,Andhra Pradesh,251746,4,Vijayawada Municipal Corporation,విజయవాడ నగరపాలక సంస్థ,4,802969
117,28,Andhra Pradesh,251754,3,Vinukonda,Vinukonda,5,802978
118,28,Andhra Pradesh,251719,8,Visakhapatnam,Visakhapatnam,4,802947
119,28,Andhra Pradesh,251709,6,Vizianagaram Municipal Corporation,Vizianagaram Municipal Corporation,4,802946
120,28,Andhra Pradesh,254923,2,Vuyyuru,Vuyyuru,7,0
121,28,Andhra Pradesh,258054,3,Yelamanchili,Yelamanchili,5,0
122,28,Andhra Pradesh,277317,2,Yeleswaram,Yeleswaram,7,0
123,28,Andhra Pradesh,251787,3,Yemmiganur,Yemmiganur,5,803001
124,28,Andhra Pradesh,251781,3,Yerraguntla,Yerraguntla,7,0
125,28,Andhra Pradesh,299612,1,Ysr Tadigadapa,Ysr Tadigadapa,5,0
126,12,Arunachal Pradesh,249705,3,Along,Along,7,801432
127,12,Arunachal Pradesh,249706,3,Basar,Basar,7,801433
128,12,Arunachal Pradesh,249699,2,Bomdila,Bomdila,7,801426
129,12,Arunachal Pradesh,299586,1,Bordumsa,BORDUMSA,7,0
130,12,Arunachal Pradesh,249711,1,Changlang,Changlang,7,801437
131,12,Arunachal Pradesh,299587,2,Chayangtajo,CHAYANGTAJO,7,0
132,12,Arunachal Pradesh,249704,3,Daporijo,Daporijo,7,801431
133,12,Arunachal Pradesh,249713,3,Deomali,Deomali,7,801440
134,12,Arunachal Pradesh,299584,1,Doimukh,DOIMUKH,7,0
135,12,Arunachal Pradesh,299582,1,Dumporijo,DUMPORIJO,7,0
136,12,Arunachal Pradesh,299588,1,Hayuliang,HAYULIANG,7,0
137,12,Arunachal Pradesh,249701,2,Itanagar,Itanagar,7,801428
138,12,Arunachal Pradesh,276621,3,Itanagar,ITANAGAR,4,0
139,12,Arunachal Pradesh,249712,2,Jairampur,Jairampur,7,801438
140,12,Arunachal Pradesh,299589,2,Kalaktang,KALAKTANG,7,0
141,12,Arunachal Pradesh,299590,1,Kharsang,KHARSANG,7,0
142,12,Arunachal Pradesh,249714,2,Khonsa,Khonsa,7,801441
143,12,Arunachal Pradesh,299583,1,Kimin,KIMIN,7,0
144,12,Arunachal Pradesh,299591,1,Lemmi,LEMMI,7,0
145,12,Arunachal Pradesh,299597,1,Mechuka,MECHUKA,7,0
146,12,Arunachal Pradesh,249702,2,Naharlagun,Naharlagun,7,801429
147,12,Arunachal Pradesh,249710,3,Namsai,Namsai,7,801448
148,12,Arunachal Pradesh,249707,3,Pasighat,Pasighat,7,801435
149,12,Arunachal Pradesh,276622,2,Pasighat,PASIGHAT,5,0
150,12,Arunachal Pradesh,299585,1,Raga,RAGA,7,0
151,12,Arunachal Pradesh,249708,4,Roing,Roing,7,801446
152,12,Arunachal Pradesh,299592,1,Ruksin,RUKSIN,7,0
153,12,Arunachal Pradesh,299593,2,Rupa,RUPA,7,0
154,12,Arunachal Pradesh,299594,1,Sangram,SANGRAM,7,0
155,12,Arunachal Pradesh,249700,2,Seppa,Seppa,7,801427
156,12,Arunachal Pradesh,299595,1,Tato,TATO,7,0
157,12,Arunachal Pradesh,249698,1,Tawang,Tawang,7,801424
158,12,Arunachal Pradesh,249709,3,Tezu,Tezu,7,801447
159,12,Arunachal Pradesh,299596,2,Yachuli,YACHULI,7,0
160,12,Arunachal Pradesh,249703,2,Ziro,Ziro,7,801443
161,18,Assam,249838,1,Abhayapuri,Abhayapuri,7,801621
162,18,Assam,249906,1,Amguri,Amguri,5,801590
163,18,Assam,249941,1,Badarpur,Badarpur,7,801617
164,18,Assam,301400,1,Baithalangso,Baithalangso,7,0
165,18,Assam,253264,5,Bakalia,Bakalia,7,0
166,18,Assam,249922,1,Barpathar,Barpathar,7,801603
167,18,Assam,249843,2,Barpeta,Barpeta,5,801557
168,18,Assam,249841,2,Barpeta Road,Barpeta Road,5,801555
169,18,Assam,249823,2,Basugaon,Basugaon,7,801622
170,18,Assam,249881,2,Bihpuria,Bihpuria,5,801576
171,18,Assam,249839,2,Bijni,Bijni,7,801623
172,18,Assam,300488,1,Bilasipara Tc,Bilasipara Tc,7,0
173,18,Assam,249879,3,Biswanath Chariali,Biswanath Chariali,5,801573
174,18,Assam,249926,3,Bokajan,Bokajan,7,801607
175,18,Assam,277144,1,Bokakhat,Bokakhat,5,801599
176,18,Assam,300494,1,Bokakhat Tc,Bokakhat Tc,7,0
177,18,Assam,249836,2,Bongaigaon,Bongaigaon,5,801620
178,18,Assam,249898,1,Chabua,Chabua,7,801587
179,18,Assam,259861,1,Chapakhowa,Chapakhowa,7,0
180,18,Assam,300489,1,Chapar Tc,Chapar Tc,7,0
181,18,Assam,300490,1,Chapar Tc,Chapar Tc,7,0
182,18,Assam,299966,1,Deithor Town Committee,Deithor Town Committee,7,0
183,18,Assam,277146,1,Demow,Demow,7,0
184,18,Assam,249918,2,Dergaon,Dergaon,5,801600
185,18,Assam,253211,1,Dhakuakhana,Dhakuakhana,7,801578
186,18,Assam,249875,2,Dhekiajuli,Dhekiajuli,5,801570
187,18,Assam,249883,1,Dhemaji,Dhemaji,7,801579
188,18,Assam,277145,1,Dhing,Dhing,5,0
189,18,Assam,249827,3,Dhubri,Dhubri,5,801549
190,18,Assam,249896,1,Dibrugarh,Dibrugarh,5,801586
191,18,Assam,249890,1,Digboi,Digboi,7,801584
192,18,Assam,249925,3,Diphu,Diphu,7,801606
193,18,Assam,249871,2,Doboka,Doboka,7,801567
194,18,Assam,249928,2,Dokmoka,Dokmoka,7,801609
